Timestamp,JX,JY,B1_Dur,B2_Dur,Grip,Pitch,Roll,FSR_L_KG,FSR_R_KG,FSR_L_Newton,FSR_R_Newton,Fatigue_Live_KG,Vib_Active,Servo_Angle,Tremor_Flag,Tremor_Var,UI_Mode,FS_Up,FS_Down,FS_Left,FS_Right,FS_Trigger,FS_Thumb
1782101220.653,0,0,0,0,0,0.04,-0.76,0.0445,0.0,0.4369,0.0,0.278,0,90,0,0.0,0,False,False,False,False,False,False
1782101220.676,0,0,0,0,0,0.16,-2.78,0.1193,0.0,1.1707,0.0,0.278,0,90,0,0.0,0,False,False,False,False,False,False
1782101220.694,0,0,0,0,0,0.28,-4.72,0.1702,0.0,1.6694,0.0,0.278,0,90,0,0.0,0,False,False,False,False,False,False
1782101220.718,0,0,0,0,0,0.32,-5.52,0.2047,0.0,2.0083,0.0,0.278,0,90,0,0.0,0,False,False,False,False,False,False
1782101220.737,0,0,0,0,0,0.33,-5.58,0.2282,0.0,2.2386,0.0,0.278,0,90,0,0.0,0,False,False,False,False,False,False
1782101220.761,0,0,0,0,0,0.31,-5.44,0.2442,0.0,2.3952,0.0,0.278,0,90,0,0.0,0,False,False,False,False,False,False
1782101220.785,0,0,0,0,0,0.3,-5.34,0.255,0.0,2.5015,0.0,0.278,0,90,0,0.0,0,False,False,False,False,False,False
1782101220.808,0,0,0,0,0,0.29,-5.31,0.2624,0.0,2.5738,0.0,0.278,0,90,0,0.0,0,False,False,False,False,False,False
1782101220.833,0,0,0,0,0,0.27,-5.31,0.2674,0.0,2.623,0.0,0.278,0,90,0,0.0,0,False,False,False,False,False,False
1782101220.853,0,0,0,0,0,0.25,-5.3,0.2708,0.0,2.6564,0.0,0.278,0,90,0,0.0,0,False,False,False,False,False,False
1782101220.877,0,0,0,0,0,0.24,-5.27,0.2733,0.0,2.6806,0.0,0.2781,0,90,0,0.0,0,False,False,False,False,False,False
1782101220.895,0,0,0,0,0,0.23,-5.26,0.2751,0.0,2.6987,0.0,0.2782,0,90,0,0.0,0,False,False,False,False,False,False
1782101220.921,0,0,0,0,0,0.23,-5.27,0.2763,0.0,2.711,0.0,0.2782,0,90,0,0.0,0,False,False,False,False,False,False
1782101220.944,0,0,0,0,0,0.24,-5.26,0.2772,0.0,2.7193,0.0,0.2783,0,90,0,0.0,0,False,False,False,False,False,False
1782101220.969,0,0,0,0,0,0.23,-5.24,0.2778,0.0,2.725,0.0,0.2783,0,90,0,0.0,0,False,False,False,False,False,False
1782101220.993,0,0,0,0,0,0.24,-5.22,0.278,0.0,2.7272,0.0,0.2783,0,90,0,0.0,0,False,False,False,False,False,False
1782101221.016,0,0,0,0,0,0.26,-5.21,0.278,0.0,2.7272,0.0,0.2783,0,90,0,0.0,0,False,False,False,False,False,False
1782101221.042,0,0,0,0,0,0.26,-5.22,0.278,0.0,2.7272,0.0,0.2783,0,90,0,0.0,0,False,False,False,False,False,False
1782101221.066,0,0,0,0,0,0.26,-5.22,0.278,0.0,2.7272,0.0,0.2783,0,90,0,0.0,0,False,False,False,False,False,False
1782101221.09,0,0,0,0,0,0.26,-5.23,0.278,0.0,2.7272,0.0,0.2782,0,90,0,0.0,0,False,False,False,False,False,False
1782101221.114,0,0,0,0,0,0.28,-5.24,0.278,0.0,2.7272,0.0,0.2782,0,90,0,0.0,0,False,False,False,False,False,False
1782101221.137,0,0,0,0,0,0.3,-5.25,0.2782,0.0,2.7288,0.0,0.2783,0,90,0,0.0,0,False,False,False,False,False,False
1782101221.155,0,0,0,0,0,0.29,-5.27,0.2784,0.0,2.7314,0.0,0.2783,0,90,0,0.0,0,False,False,False,False,False,False
1782101221.18,0,0,0,0,0,0.26,-5.28,0.2786,0.0,2.7332,0.0,0.2783,0,90,0,0.0,0,False,False,False,False,False,False
1782101221.201,0,0,0,0,0,0.24,-5.29,0.2787,0.0,2.7344,0.0,0.2784,0,90,0,0.0,0,False,False,False,False,False,False
1782101221.223,0,0,0,0,0,0.23,-5.3,0.2788,0.0,2.7352,0.0,0.2784,0,90,0,0.0,0,False,False,False,False,False,False
1782101221.242,0,0,0,0,0,0.24,-5.3,0.2789,0.0,2.7358,0.0,0.2784,0,90,0,0.0,0,False,False,False,False,False,False
1782101221.267,0,0,0,0,0,0.25,-5.29,0.2788,0.0,2.7346,0.0,0.2784,0,90,0,0.0,0,False,False,False,False,False,False
1782101221.285,0,0,0,0,0,0.25,-5.27,0.2787,0.0,2.7338,0.0,0.2784,0,90,0,0.0,0,False,False,False,False,False,False
1782101221.311,0,0,0,0,0,0.25,-5.25,0.2788,0.0,2.7348,0.0,0.2784,0,90,0,0.0,0,False,False,False,False,False,False
1782101221.356,0,0,0,0,0,0.25,-5.25,0.2788,0.0,2.7355,0.0,0.2785,0,90,0,0.0,0,False,False,False,False,False,False
1782101221.359,0,0,0,0,0,0.25,-5.26,0.2789,0.0,2.736,0.0,0.2785,0,90,0,0.0,0,False,False,False,False,False,False
1782101221.371,0,0,0,0,0,0.26,-5.28,0.2789,0.0,2.7363,0.0,0.2785,0,90,0,0.0,0,False,False,False,False,False,False
1782101221.396,0,0,0,0,0,0.26,-5.28,0.279,0.0,2.7365,0.0,0.2785,0,90,0,0.0,0,False,False,False,False,False,False
1782101221.414,0,0,0,0,0,0.25,-5.29,0.279,0.0,2.7367,0.0,0.2785,0,90,0,0.0,0,False,False,False,False,False,False
1782101221.44,0,0,0,0,0,0.24,-5.29,0.279,0.0,2.7368,0.0,0.2785,0,90,0,0.0,0,False,False,False,False,False,False
1782101221.457,0,0,0,0,0,0.24,-5.3,0.279,0.0,2.7368,0.0,0.2785,0,90,0,0.0,0,False,False,False,False,False,False
1782101221.482,0,0,0,0,0,0.24,-5.31,0.279,0.0,2.7369,0.0,0.2786,0,90,0,0.0,0,False,False,False,False,False,False
1782101221.501,0,0,0,0,0,0.25,-5.33,0.279,0.0,2.7369,0.0,0.2786,0,90,0,0.0,0,False,False,False,False,False,False
1782101221.524,0,0,0,0,0,0.24,-5.36,0.279,0.0,2.7369,0.0,0.2786,0,90,0,0.0,0,False,False,False,False,False,False
1782101221.543,0,0,0,0,0,0.22,-5.36,0.279,0.0,2.737,0.0,0.2786,0,90,0,0.0,0,False,False,False,False,False,False
1782101221.568,0,0,0,0,0,0.2,-5.34,0.279,0.0,2.737,0.0,0.2786,0,90,0,0.0,0,False,False,False,False,False,False
1782101221.586,0,0,0,0,0,0.18,-5.31,0.279,0.0,2.737,0.0,0.2786,0,90,0,0.0,0,False,False,False,False,False,False
1782101221.611,0,0,0,0,0,0.18,-5.29,0.279,0.0,2.737,0.0,0.2786,0,90,0,0.0,0,False,False,False,False,False,False
1782101221.629,0,0,0,0,0,0.2,-5.28,0.279,0.0,2.737,0.0,0.2786,0,90,0,0.0,0,False,False,False,False,False,False
1782101221.655,0,0,0,0,0,0.22,-5.27,0.2788,0.0,2.7354,0.0,0.2786,0,90,0,0.0,0,False,False,False,False,False,False
1782101221.679,0,0,0,0,0,0.23,-5.28,0.2787,0.0,2.7343,0.0,0.2786,0,90,0,0.0,0,False,False,False,False,False,False
1782101221.702,0,0,0,0,0,0.23,-5.3,0.2788,0.0,2.7352,0.0,0.2786,0,90,0,0.0,0,False,False,False,False,False,False
1782101221.726,0,0,0,0,0,0.24,-5.31,0.2789,0.0,2.7358,0.0,0.2786,0,90,0,0.0,0,False,False,False,False,False,False
1782101221.745,0,0,0,0,0,0.24,-5.3,0.2789,0.0,2.7362,0.0,0.2786,0,90,0,0.0,0,False,False,False,False,False,False
1782101221.768,0,0,0,0,0,0.23,-5.29,0.2789,0.0,2.7364,0.0,0.2786,0,90,0,0.0,0,False,False,False,False,False,False
1782101221.788,0,0,0,0,0,0.22,-5.28,0.279,0.0,2.7366,0.0,0.2787,0,90,0,0.0,0,False,False,False,False,False,False
